Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53404774,The Doctors Blackwell: How Two Pioneering Sisters Brought Medicine to Women and Women to Medicine,Janice P. Nimura,"Nimura, Janice P.",,"=""0393635546""","=""9780393635546""",0,3.59,W. W. Norton & Company,Hardcover,336,2021,2021,,2021/02/14,to-read,to-read (#42),to-read,,,,0,0
51029834,The Invisible Life of Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E.",,"=""""","=""""",3,4.18,Tor Books,ebook,448,2020,2020,2020/12/27,2020/12/06,,,read,,,,1,0
23924140,Into the Black: The Inside Story of Metallica (1991-2014),Paul Brannigan,"Brannigan, Paul",Ian Winwood,"=""0306821893""","=""9780306821899""",3,3.72,Da Capo,Kindle Edition,289,2014,2014,2021/01/29,2021/01/29,audiobooks-listened,audiobooks-listened (#97),audiobooks-listened,,,,1,0
54103321,A Parchment of Leaves,Silas House,"House, Silas",,"=""1949467252""","=""9781949467253""",0,4.22,Blair,Paperback,306,2020,2002,,2021/01/20,to-read,to-read (#41),to-read,,,,0,0
662277,"Flim-Flam!: Psychics, ESP, Unicorns, and Other Delusions",James Randi,"Randi, James",Isaac Asimov,"=""0879751983""","=""9780879751982""",0,4.02,Prometheus Books,Paperback,342,1982,1982,,2020/10/27,couldn-t-finish,couldn-t-finish (#19),couldn-t-finish,,,,0,0
19426528,Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil,"McNeil, Legs",Gillian McCain,"=""0802192769""","=""9780802192769""",0,4.19,Grove Press,Kindle Edition,725,2014,1996,,2020/02/01,couldn-t-finish,couldn-t-finish (#18),couldn-t-finish,,,,0,0
36075657,The Overstory,Richard Powers,"Powers, Richard",,"=""0393635538""","=""9780393635539""",0,4.12,W. W. Norton & Company,Kindle Edition,513,2018,2018,,2019/05/01,couldn-t-finish,couldn-t-finish (#17),couldn-t-finish,,,,0,0
17290774,"Birth School Metallica Death, Volume 1: The Biography",Paul Brannigan,"Brannigan, Paul",Ian Winwood,"=""0306821869""","=""9780306821868""",3,3.97,Da Capo Press,Hardcover,392,2013,2013,2020/11/07,2020/11/07,audiobooks-listened,audiobooks-listened (#96),audiobooks-listened,,,,1,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",3,4.02,Crown,Hardcover,342,2006,2006,,2020/10/27,,,read,,,,1,0
52454426,Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,"Brooks, Max",,"=""1984826786""","=""9781984826787""",2,3.91,Del Rey Books,Hardcover,286,2020,2020,2020/10/17,2020/07/25,audiobooks-listened,audiobooks-listened (#95),audiobooks-listened,,,,1,0
